Year,Elk
1929,8289
1930,7725
1931,10636
1932,11513
1933,10072
1934,10197
1935,10353
1936,8787
1937,10978
1942,8221
1945,8532
1947,7843
1948,9502
1955,6994
1958,4863
1960,8181
2003,9227
2001,11921
1994,16777
1993,19001
1992,17561
1991,12552
1990,9452
1989,14807
1988,10267
1987,18878
1986,17031
1985,16280
1981,15969
1978,10866
1977,12714
1976,9051
1975,11995
1974,12622
1973,10493
1972,9961
1971,8208
1970,7332
1969,5610
1968,4327
1967,3137
1966,3858
1964,4892
1961,5739
2011,6600
2015,5500
