Year,Wolves
1915,139
1916,132
1917,118
1918,114
1919,78
1920,72
1921,44
1922,16
1923,8
1924,
1925,
1926,
1927,
1928,
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,
1937,
1938,
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,
1949,
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,21
1996,51
1997,86
1998,112
1999,118
2000,119
2001,132
2002,148
2003,174
2004,171
2005,118
2006,136
2007,171
2008,124
2009,96
2010,97
2011,98
2012,83
2013,95
2014,104
2015,98
2016,108
